Symbol,Company,Sector,Industry,Date added,Founded,City,State/Country
NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,1984 (1925),Juno Beach, Florida
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,2013-07-09,1923,New York City, New York
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,1964,Washington County, Oregon
NI,NiSource,Utilities,Multi-Utilities,,1912,Merrillville, Indiana
NSC,Norfolk Southern,Industrials,Railroads,1957-03-04,1881/1894 (1980),Norfolk, Virginia
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,,1889,Chicago, Illinois
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1985-06-30,"1994 (Northrop 1939, Grumman 1930)",West Falls Church, Virginia
NLOK,NortonLifeLock,Information Technology,Application Software,2003-03-25,1982,Tempe, Arizona
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,2011 (1966),Miami, Florida
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,1992,Houston, Texas
NUE,Nucor,Materials,Steel,1985-04-30,1940,Charlotte, North Carolina
NVDA,Nvidia,Information Technology,Semiconductors,2001-11-30,1993,Santa Clara, California
NVR,NVR,Consumer Discretionary,Homebuilding,2019-09-26,1980,Reston, Virginia
NXPI,NXP,Information Technology,Semiconductors,2021-03-22,1953,Eindhoven, Netherlands
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,2009-03-27,1957,Springfield, Missouri
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31,1920,Houston, Texas
ODFL,Old Dominion Freight Line,Industrials,Trucking,2019-12-09,1934,Thomasville, North Carolina
OMC,Omnicom Group,Communication Services,Advertising,,1986,New York City, New York
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2010-03-15,1906,Tulsa, Oklahoma
ORCL,Oracle,Information Technology,Application Software,1989-08-31,1977,Austin, Texas
OGN,Organon & Co.,Health Care,Pharmaceuticals,2021-06-03,2021,Jersey City, New Jersey
OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020-04-03,2020 (1853),Farmington, Connecticut
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,1980-12-31,1905,Bellevue, Washington
PKG,Packaging Corporation of America,Materials,Paper Packaging,2017-07-26,1959,Lake Forest, Illinois
PH,Parker-Hannifin,Industrials,Industrial Machinery,1985-11-30,1917,Cleveland, Ohio
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,,1971,Penfield, New York
PAYC,Paycom,Information Technology,Application Software,2020-01-28,1998,Oklahoma City, Oklahoma
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20,1998,San Jose, California
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,2021-03-22,1972,Wyomissing, Pennsylvania
PNR,Pentair,Industrials,Industrial Machinery,2012-10-01,1966,Worsley, England
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,2008-11-13,1842,Bridgeport, Connecticut
PEP,PepsiCo,Consumer Staples,Soft Drinks,1957-03-04,1898,Purchase, New York
PKI,PerkinElmer,Health Care,Health Care Equipment,1985-05-31,1937,Waltham, Massachusetts
PFE,Pfizer,Health Care,Pharmaceuticals,1957-03-04,1849,New York City, New York
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,2008 (1847),New York City, New York
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01,2012 (1917),Houston, Texas
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,,1985,Phoenix, Arizona
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24,1997,Irving, Texas
PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30,1845,Pittsburgh, Pennsylvania
POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07,1993,Covington, Louisiana
PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04,1883,Pittsburgh, Pennsylvania
PPL,PPL,Utilities,Electric Utilities,,1920,Allentown, Pennsylvania
PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22,1879,Des Moines, Iowa
PG,Procter & Gamble,Consumer Staples,Personal Products,1957-03-04,1837,Cincinnati, Ohio
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1997-08-04,1937,Mayfield Village, Ohio
PLD,Prologis,Real Estate,Industrial REITs,2003-07-17,1983,San Francisco, California
PRU,Prudential Financial,Financials,Life & Health Insurance,2002-07-22,1875,Newark, New Jersey
PEG,PSEG,Utilities,Electric Utilities,1957-03-04,1903,Newark, New Jersey
PTC,PTC,Information Technology,Application Software,2021-04-20,1985,Boston, Massachusetts
PSA,Public Storage,Real Estate,Specialized REITs,2005-08-19,1972,Glendale, California
PHM,PulteGroup,Consumer Discretionary,Homebuilding,1984-04-30,1956,Atlanta, Georgia
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15,1881,New York City, New York
QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11,2015,Greensboro, North Carolina
PWR,Quanta Services,Industrials,Construction & Engineering,2009-07-01,1997,Houston, Texas
QCOM,Qualcomm,Information Technology,Semiconductors,,1985,San Diego, California
DGX,Quest Diagnostics,Health Care,Health Care Services,2002-12-12,1967,Secaucus, New Jersey
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02,1967,New York City, New York
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,2017-03-20,1962,St. Petersburg, Florida
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,,1922,Waltham, Massachusetts
O,Realty Income Corporation,Real Estate,Retail REITs,2015-04-07,1969,San Diego, California
REG,Regency Centers,Real Estate,Retail REITs,2017-03-02,1963,Jacksonville, Florida
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,2013-05-01,1988,Tarrytown, New York
RF,Regions Financial Corporation,Financials,Regional Banks,1998-08-28,1971,Birmingham, Alabama
RSG,Republic Services,Industrials,Environmental & Facilities Services,2008-12-05,1998 (1981),Phoenix, Arizona
RMD,ResMed,Health Care,Health Care Equipment,2017-07-26,1989,San Diego, California
RHI,Robert Half International,Industrials,Human Resource & Employment Services,2000-12-05,1948,Menlo Park, California
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,,1903,Milwaukee, Wisconsin
ROL,Rollins,Industrials,Environmental & Facilities Services,2018-10-01,1948,Atlanta, Georgia
ROP,Roper Technologies,Industrials,Industrial Conglomerates,2009-12-23,1981,Sarasota, Florida
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21,1982,Dublin, California
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05,1997,Miami, Florida
SPGI,S&P Global,Financials,Financial Exchanges & Data,,1917,New York City, New York
CRM,Salesforce,Information Technology,Application Software,2008-09-15,1999,San Francisco, California
SBAC,SBA Communications,Real Estate,Specialized REITs,2017-09-01,1989,Boca Raton, Florida
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1965-03-31,1926,Curaçao, Kingdom of the Netherlands
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02,1979,Dublin, Ireland
SEE,Sealed Air,Materials,Paper Packaging,1957-03-04,1960,Charlotte, North Carolina
SRE,Sempra Energy,Utilities,Multi-Utilities,,1998,San Diego, California
NOW,ServiceNow,Information Technology,Systems Software,2019-11-21,2003,Santa Clara, California
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30,1866,Cleveland, Ohio
SBNY,Signature Bank,Financials,Regional Banks,2021-12-20,2001,New York City, New York
SPG,Simon Property Group,Real Estate,Retail REITs,2002-06-26,2003,Indianapolis, Indiana
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12,2002,Woburn, Massachusetts
SNA,Snap-on,Industrials,Industrial Machinery,1982-09-30,1920,Kenosha, Wisconsin
SEDG,SolarEdge,Information Technology,Semiconductor Equipment,2021-12-20,2006,Herzliya, Israel
SO,Southern Company,Utilities,Electric Utilities,1957-03-04,1945,Atlanta, Georgia
LUV,Southwest Airlines,Industrials,Airlines,1994-07-01,1967,Dallas, Texas
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1982-09-30,1843,New Britain, Connecticut
SBUX,Starbucks,Consumer Discretionary,Restaurants,,1971,Seattle, Washington
STT,State Street Corporation,Financials,Asset Management & Custody Banks,,1792,Boston, Massachusetts
STE,Steris,Health Care,Health Care Equipment,2019-12-23,1985,Dublin, Ireland
SYK,Stryker Corporation,Health Care,Health Care Equipment,2000-12-12,1941,Kalamazoo, Michigan
SIVB,SVB Financial,Financials,Regional Banks,2018-03-19,1983,Santa Clara, California
SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18,2003,Stamford, Connecticut
SNPS,Synopsys,Information Technology,Application Software,2017-03-16,1986,Mountain View, California
SYY,Sysco,Consumer Staples,Food Distributors,1986-12-31,1969,Houston, Texas
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15,1994,Bellevue, Washington
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,,1937,Baltimore, Maryland
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19,1993,New York City, New York
TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,2017,New York City, New York
TGT,Target,Consumer Discretionary,General Merchandise Stores,1976-12-31,1902,Minneapolis, Minnesota
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2011-10-17,2007,Schaffhausen, Switzerland
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,2020-06-22,1960,Thousand Oaks, California
TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18,1943,Wayne, Pennsylvania
TER,Teradyne,Information Technology,Semiconductor Equipment,2020-09-21,1960,North Reading, Massachusetts
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,2020-12-21,2003,Palo Alto, California
TXN,Texas Instruments,Information Technology,Semiconductors,,1930,Dallas, Texas
TXT,Textron,Industrials,Aerospace & Defense,1978-12-31,1923,Providence, Rhode Island
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2004-08-03,2006 (1902),Waltham, Massachusetts
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1985-09-30,1987,Framingham, Massachusetts
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,2014-01-24,1938,Brentwood, Tennessee
TT,Trane Technologies,Industrials,Building Products,2010-11-17,1871,Dublin, Ireland
TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03,1993,Cleveland, Ohio
TRV,The Travelers Companies,Financials,Property & Casualty Insurance,2002-08-21,1853,New York City, New York
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,2021-01-21,1978,Sunnyvale, California
TFC,Truist Financial,Financials,Regional Banks,1997-12-04,1872,Charlotte, North Carolina
TWTR,Twitter,Communication Services,Interactive Media & Services,2018-06-07,2006,San Francisco, California
TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22,1966,Plano, Texas
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2005-08-10,1935,Springdale, Arkansas
UDR,UDR,Real Estate,Residential REITs,2016-03-07,1972,Highlands Ranch, Colorado
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18,1990,Bolingbrook, Illinois
USB,U.S. Bancorp,Financials,Diversified Banks,,1968,Minneapolis, Minnesota
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01,1996,Baltimore, Maryland
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2016-04-08,1996,Baltimore, Maryland
UNP,Union Pacific,Industrials,Railroads,1957-03-04,1862,Omaha, Nebraska
UAL,United Airlines,Industrials,Airlines,2015-09-03,1967,Chicago, Illinois
UNH,UnitedHealth Group,Health Care,Managed Health Care,1994-07-01,1977,Minnetonka, Minnesota
UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22,1907,Sandy Springs, Georgia
URI,United Rentals,Industrials,Trading Companies & Distributors,2014-09-20,1997,Stamford, Connecticut
UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20,1979,King of Prussia, Pennsylvania
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,,1980,San Antonio, Texas
VTR,Ventas,Real Estate,Health Care REITs,2009-03-04,1998,Chicago, Illinois
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006-02-01,1995,Dulles, Virginia
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08,1971,Jersey City, New Jersey
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,1983-11-30,1983 (1877),New York City, New York
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2013-09-23,1989,Cambridge, Massachusetts
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,1899,Denver, Colorado
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,,2019 (1952),New York City, New York
VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23,1961,Pittsburgh, Pennsylvania
V,Visa,Information Technology,Data Processing & Outsourced Services,2009-12-21,1958,San Francisco, California
VNO,Vornado Realty Trust,Real Estate,Office REITs,,1982,New York City, New York
VMC,Vulcan Materials,Materials,Construction Materials,1999-06-30,1909,Birmingham, Alabama
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2019-12-05,1967,Greenwich, Connecticut
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,2019-02-27,1999 (1869),Pittsburgh, Pennsylvania
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982-08-31,1962,Bentonville, Arkansas
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31,2014,Deerfield, Illinois
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1976-06-30,1923,Burbank, California
WM,Waste Management,Industrials,Environmental & Facilities Services,,1968,Houston, Texas
WAT,Waters Corporation,Health Care,Health Care Distributors,,1958,Milford, Massachusetts
WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31,1896,Milwaukee, Wisconsin
WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30,1852,San Francisco, California
WELL,Welltower,Real Estate,Health Care REITs,2009-01-30,1970,Toledo, Ohio
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22,1923,Exton, Pennsylvania
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,1970,San Jose, California
WRK,WestRock,Materials,Paper Packaging,,2015,Atlanta, Georgia
WY,Weyerhaeuser,Real Estate,Specialized REITs,,1900,Seattle, Washington
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,,1911,Benton Harbor, Michigan
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31,1908,Tulsa, Oklahoma
WTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05,2016,London, England
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008-11-14,2002,Paradise, Nevada
XEL,Xcel Energy,Utilities,Multi-Utilities,1957-03-04,1909,Minneapolis, Minnesota
XLNX,Xilinx,Information Technology,Semiconductors,1999-11-08,1984,San Jose, California
XYL,Xylem,Industrials,Industrial Machinery,2011-11-01,2011,White Plains, New York
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997-10-06,1997,Louisville, Kentucky
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23,1969,Lincolnshire, Illinois
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07,1927,Warsaw, Indiana
ZION,Zions Bancorp,Financials,Regional Banks,2001-06-22,1873,Salt Lake City, Utah
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,1952,Parsippany, New Jersey
